handle,domain,eligible_for_bounty
ivanti_vdp,ivanti.com,False
ivanti_vdp,ivanti.com,False
anthropic-vdp,claude.ai,False
anthropic-vdp,claude.ai,False
vodafone_oman,vfo03.vodafone.om,True
vodafone_oman,vfo01.vodafone.om,True
vodafone_oman,apix.vodafone.om,True
vodafone_oman,vfo02.vodafone.om,True
vodafone_oman,www.vodafone.om,True
vodafone_oman,www.vodafone.om,True
vodafone_oman,apix.vodafone.om,True
vodafone_oman,vfo01.vodafone.om,True
vodafone_oman,vfo02.vodafone.om,True
vodafone_oman,vfo03.vodafone.om,True
peloton,qa1-cms.onepeloton.com,False
peloton,cosmos-stage.onepeloton.com,False
peloton,cms.onepeloton.com,False
peloton,cosmos.onepeloton.com,False
peloton,auth-test.onepeloton.com,False
peloton,cms.onepeloton.com,False
peloton,cosmos.onepeloton.com,False
peloton,auth-test.onepeloton.com,False
peloton,cosmos-stage.onepeloton.com,False
peloton,qa1-cms.onepeloton.com,False
pagerduty,hackerone.stg.runbook.pagerduty.cloud,False
pagerduty,pentest-uat.pushbot.com,False
pagerduty,events.pagerduty.com,False
pagerduty,api.pagerduty.com,False
pagerduty,*.pagerduty.com,False
pagerduty,www.pagerduty.com,False
pagerduty,*.pagerduty.com,False
pagerduty,events.pagerduty.com,False
pagerduty,api.pagerduty.com,False
pagerduty,pentest-uat.pushbot.com,False
pagerduty,https://hub.docker.com/r/rundeck/rundeck/,False
pagerduty,https://hub.docker.com/r/rundeckpro/enterprise,False
pagerduty,https://hub.docker.com/r/rundeckpro/runner,False
pagerduty,hackerone.stg.runbook.pagerduty.cloud,False
pagerduty,www.pagerduty.com,False
nba-public,content-api-nextgen-prod.nba.com,True
nba-public,content-api-prod.nba.com,True
nba-public,core-api.nba.com,True
nba-public,stats.nba.com,True
nba-public,stats-trafficcop-prod.nba.com,True
nba-public,id.nba.com,True
nba-public,2kleague.nba.com,True
nba-public,cdn.nba.com,True
nba-public,gleague.nba.com,True
nba-public,cms.nba.com,True
nba-public,identity.nba.com,True
nba-public,bal.nba.com,True
nba-public,www.nba.com,True
nba-public,www.nba.com,True
nba-public,gleague.nba.com,True
nba-public,2kleague.nba.com,True
nba-public,bal.nba.com,True
nba-public,content-api-nextgen-prod.nba.com,True
nba-public,content-api-prod.nba.com,True
nba-public,core-api.nba.com,True
nba-public,id.nba.com,True
nba-public,stats-trafficcop-prod.nba.com,True
nba-public,cdn.nba.com,True
nba-public,cms.nba.com,True
nba-public,stats.nba.com,True
nba-public,identity.nba.com,True
prudential-financial,*.prudential.com,False
prudential-financial,*.prudential.com,False
oportun_vdp,api.digit.co,False
oportun_vdp,creditcards.oportun.com,False
oportun_vdp,digit.co,False
oportun_vdp,digit-gateway-prod1.oportun.com,False
oportun_vdp,creditcard.oportun.com,False
oportun_vdp,ecneulfnoc.oportun.com,False
oportun_vdp,juno-srs.oportun.com,False
oportun_vdp,jira.oportun.com,False
oportun_vdp,kiosk.oportun.com,False
oportun_vdp,operations.oportun.com,False
oportun_vdp,offers.oportun.com,False
oportun_vdp,oe1.oportun.com,False
oportun_vdp,oe.oportun.com,False
oportun_vdp,quickapply.oportun.com,False
oportun_vdp,services.oportun.com,False
oportun_vdp,space.oportun.com,False
oportun_vdp,aplica.oportun.com,False
oportun_vdp,arij.oportun.com,False
oportun_vdp,collections.oportun.com,False
oportun_vdp,confluence.oportun.com,False
oportun_vdp,callback.oportun.com,False
oportun_vdp,account.oportun.com,False
oportun_vdp,oportun.com,False
oportun_vdp,apply.oportun.com,False
oportun_vdp,apply.oportun.com,False
oportun_vdp,https://account.oportun.com/services,False
oportun_vdp,https://account.oportun.com/creditcards,False
oportun_vdp,oportun.com,False
oportun_vdp,creditcards.oportun.com,False
oportun_vdp,digit.co,False
oportun_vdp,api.digit.co,False
oportun_vdp,account.oportun.com,False
oportun_vdp,aplica.oportun.com,False
oportun_vdp,arij.oportun.com,False
oportun_vdp,callback.oportun.com,False
oportun_vdp,collections.oportun.com,False
oportun_vdp,confluence.oportun.com,False
oportun_vdp,creditcard.oportun.com,False
oportun_vdp,digit-gateway-prod1.oportun.com,False
oportun_vdp,ecneulfnoc.oportun.com,False
oportun_vdp,jira.oportun.com,False
oportun_vdp,juno-srs.oportun.com,False
oportun_vdp,kiosk.oportun.com,False
oportun_vdp,oe.oportun.com,False
oportun_vdp,oe1.oportun.com,False
oportun_vdp,offers.oportun.com,False
oportun_vdp,operations.oportun.com,False
oportun_vdp,quickapply.oportun.com,False
oportun_vdp,services.oportun.com,False
oportun_vdp,space.oportun.com,False
moov,gateway.moov.io,False
moov,infra-oss.moov.io,False
moov,oss.moov.io,False
moov,tools.cards.moov.io,False
moov,cards.moov.io,False
moov,tools.moov.io,False
moov,moov.io,False
moov,dashboard.moov.io,False
moov,api.moov.io,False
moov,dashboard.moov.io,False
moov,api.moov.io,False
moov,cards.moov.io,False
moov,gateway.moov.io,False
moov,infra-oss.moov.io,False
moov,moov.io,False
moov,oss.moov.io,False
moov,tools.cards.moov.io,False
moov,tools.moov.io,False
tim_hortons_vdp,*api.timsfinancial.ca,False
tim_hortons_vdp,*timsfinancial.ca,False
tim_hortons_vdp,*timsfinancial.ca,False
tim_hortons_vdp,*api.timsfinancial.ca,False
tim_hortons_vdp,https://use1-staging-th.rbictg.com/graphql,False
6sense-vdp,https://6sense.com/platform/sales/signup,False
6sense-vdp,https://chromewebstore.google.com/detail/6sense-si-extension-for-c/mkpoonlmiaknmcdcmdhbnehhglndcolf?hl=en,False
productboard,*.productboard.com,False
productboard,*.satismeter.com,False
productboard,*.productboard.com,False
productboard,*.satismeter.com,False
render,render.com,False
render,dashboard.render.com,False
render,render.com,False
render,dashboard.render.com,False
timelycare,sandbox.timelycare.com,False
timelycare,sandbox.timelycare.com,False
dib-vdp,47.206.114.79,False
dib-vdp,74.85.94.213,False
dib-vdp,74.85.94.211,False
dib-vdp,gw-cpep.esailcloud.com,False
dib-vdp,gw-sea.esailcloud.com,False
dib-vdp,gw.esailcloud.com,False
dib-vdp,sdpgw01.cymycloud.com,False
dib-vdp,gw01.cymycloud.com,False
dib-vdp,gw02.cymycloud.com,False
dib-vdp,ns1.ext.cymycloud.com,False
dib-vdp,ns2.ext.cymycloud.com,False
dib-vdp,sdpcon01.cymycloud.com,False
dib-vdp,tenant-mail01.orl01.cymycloud.com,False
dib-vdp,tenant-svc-fw-01.orl01.cymycloud.com,False
dib-vdp,tenantgw01.orl01.cymycloud.com,False
dib-vdp,cm-gw01.cybermyte.io,False
dib-vdp,admin-edge01.orl01.cymycloud.io,False
dib-vdp,*.hxfivelaunch.com,False
dib-vdp,*.dese.com,False
dib-vdp,*.alex-as.com,False
dib-vdp,*.alexamerican.com,False
dib-vdp,*.americansystems.com,False
dib-vdp,*.autodiscover.americansystems.com,False
dib-vdp,*.ddlomni.com,False
dib-vdp,*.nhaero.com,False
dib-vdp,https://www.nucleussec.com,False
dib-vdp,http://www.nucleussec.com,False
dib-vdp,47.206.114.79,False
dib-vdp,https://test.nucleussec.com,False
dib-vdp,http://umdintl.sharepoint.us,False
dib-vdp,http://hxfive.sharepoint.com,False
dib-vdp,http://test.nucleussec.com,False
dib-vdp,http://hxfiveservice.com,False
dib-vdp,http://hxfive.com,False
dib-vdp,electroimpact.com,False
dib-vdp,www.ariacoustics.com,False
dib-vdp,74.85.94.220,False
dib-vdp,74.85.94.215,False
dib-vdp,74.85.94.213,False
dib-vdp,74.85.94.212,False
dib-vdp,74.85.94.211,False
dib-vdp,76.191.116.189,False
dib-vdp,76.191.116.187,False
dib-vdp,76.191.116.185,False
dib-vdp,76.191.116.183,False
dib-vdp,gw-alex.esailcloud.com,False
dib-vdp,gw-cpep.esailcloud.com,False
dib-vdp,gw-sea.esailcloud.com,False
dib-vdp,gw.esailcloud.com,False
dib-vdp,public.esailcloud.com,False
dib-vdp,http://vpn.elevi.net,False
dib-vdp,http://www.elevi.net,False
dib-vdp,sdpgw01.cymycloud.com,False
dib-vdp,gw01.cymycloud.com,False
dib-vdp,gw02.cymycloud.com,False
dib-vdp,ns1.ext.cymycloud.com,False
dib-vdp,ns2.ext.cymycloud.com,False
dib-vdp,sdpcon01.cymycloud.com,False
dib-vdp,tenant-mail01.orl01.cymycloud.com,False
dib-vdp,tenant-svc-fw-01.orl01.cymycloud.com,False
dib-vdp,tenantgw01.orl01.cymycloud.com,False
dib-vdp,cm-gw01.cybermyte.io,False
dib-vdp,http://cybermyte.io,False
dib-vdp,admin-edge01.orl01.cymycloud.io,False
dib-vdp,admin-sdpcon01.orl01.cymycloud.io,False
dib-vdp,38.77.128.194,False
dib-vdp,learning.raicescyberacademy.org,False
dib-vdp,www.raicescon.org,False
dib-vdp,milrecruiter.com,False
dib-vdp,mail01.orl01.cymysecure.com,False
dib-vdp,38.77.128.195,False
dib-vdp,challenge.cymy.io,False
dib-vdp,dev-edge01.cymy.io,False
dib-vdp,dev-gw01.cymy.io,False
dib-vdp,dev-sdp01.cymy.io,False
dib-vdp,https://access-auth.caci.com,False
dib-vdp,https://access-dr-auth.caci.com,False
dib-vdp,https://acquisitions.caci.com,False
dib-vdp,https://apps.caci.com,False
dib-vdp,https://artifactory.csde.caci.com,False
dib-vdp,https://bglogin.caci.com,False
dib-vdp,https://blackduck-com.caci.com,False
dib-vdp,https://cast.caci.com,False
dib-vdp,https://castportal.caci.com,False
dib-vdp,https://cfa1.caci.com,False
dib-vdp,https://cic.caci.com,False
dib-vdp,https://cis-epm.caci.com,False
dib-vdp,https://cis-epohdlr-02a.caci.com,False
dib-vdp,https://cis-tpm.caci.com,False
dib-vdp,https://cmr.caci.com,False
dib-vdp,https://codeguardian-veeam.caci.com,False
dib-vdp,https://comprizon.caci.com,False
dib-vdp,https://confluence.csde.caci.com,False
dib-vdp,https://controlleddelivery.caci.com,False
dib-vdp,https://corianservicedesk.caci.com,False
dib-vdp,https://cp.caci.com,False
dib-vdp,https://cptestnext.caci.com,False
dib-vdp,https://csde.caci.com,False
dib-vdp,https://csgsurveys.caci.com,False
dib-vdp,https://delivery.caci.com,False
dib-vdp,https://draco.caci.com,False
dib-vdp,https://ext-ebsods.caci.com,False
dib-vdp,https://ext-ebsodsoauth.caci.com,False
dib-vdp,https://extpass.caci.com,False
dib-vdp,https://gitlab.csde.caci.com,False
dib-vdp,https://harbor.csde.caci.com,False
dib-vdp,https://home.caci.com,False
dib-vdp,https://hudocfo.caci.com,False
dib-vdp,https://irmai.caci.com,False
dib-vdp,https://jenkins.nm.caci.com,False
dib-vdp,https://jira.cirras.caci.com,False
dib-vdp,https://jira.csde.caci.com,False
dib-vdp,https://keycloak.csde.caci.com,False
dib-vdp,https://kurt-prod.caci.com,False
dib-vdp,https://lcv.caci.com,False
dib-vdp,https://lepus.caci.com,False
dib-vdp,https://libra.caci.com,False
dib-vdp,https://login.caci.com,False
dib-vdp,https://mimir.caci.com,False
dib-vdp,https://mockup.smds.caci.com,False
dib-vdp,https://moveit.caci.com,False
dib-vdp,https://mybd.caci.com,False
dib-vdp,https://mydesktop.caci.com,False
dib-vdp,https://mydesktopdr.caci.com,False
dib-vdp,https://mysites.caci.com,False
dib-vdp,https://passchange.caci.com,False
dib-vdp,https://plantuml.csde.caci.com,False
dib-vdp,https://pricingrequest.caci.com,False
dib-vdp,https://quarantine.caci.com,False
dib-vdp,https://registry.csde.caci.com,False
dib-vdp,https://rts.caci.com,False
dib-vdp,https://sccmextmp01a.caci.com,False
dib-vdp,https://sonarqube.csde.caci.com,False
dib-vdp,https://spa.caci.com,False
dib-vdp,https://spssite.caci.com,False
dib-vdp,https://subktemp.caci.com,False
dib-vdp,https://support.caci.com,False
dib-vdp,https://talxsso.caci.com,False
dib-vdp,https://test.smds.caci.com,False
dib-vdp,https://tokenchange.caci.com,False
dib-vdp,https://vault.csde.caci.com,False
dib-vdp,https://vpc.caci.com,False
dib-vdp,https://wacweb.caci.com,False
dib-vdp,https://webmail.caci.com,False
dib-vdp,https://wikiplus.caci.com,False
dib-vdp,https://www.askit.caci.com,False
dib-vdp,https://www.corianconfluence.caci.com,False
dib-vdp,https://www.csde.caci.com,False
dib-vdp,https://ganymede.cacicorenet.com,False
dib-vdp,https://login.cacicorenet.com,False
dib-vdp,https://passchange.cacicorenet.com,False
dib-vdp,https://tokenchange.cacicorenet.com,False
dib-vdp,https://www.hqig4portal2.com,False
dib-vdp,https://www.idtec.com,False
dib-vdp,https://www.saphotonics.com,False
dib-vdp,https://vdi.lgsinnovations.com,False
dib-vdp,http://da1dc2.centurum.com,False
dib-vdp,https://da1dc2.centurum.com,False
dib-vdp,https://support.centurum.com,False
dib-vdp,https://corp.cybermyte.io,False
dib-vdp,https://becosmwdepository.com,False
dib-vdp,https://connect.americansystems.com,False
dib-vdp,https://enterpriseenrollment.americansystems.com,False
dib-vdp,https://nextcloud.lata.com,False
dib-vdp,https://nhaero.com,False
dib-vdp,https://oss.ultipro.com,False
dib-vdp,https://theossteam.com,False
dib-vdp,https://theossteam.unanet-gc.biz,False
dib-vdp,https://txlaorcdepository.com,False
dib-vdp,https://apps.signaturescience.com,False
dib-vdp,https://aus-gp.signaturescience.com,False
dib-vdp,https://blade.signaturescience.com,False
dib-vdp,https://cho-gp.signaturescience.com,False
dib-vdp,https://erequester.signaturescience.com,False
dib-vdp,https://ftp.signaturescience.com,False
dib-vdp,https://jontest.signaturescience.com,False
dib-vdp,https://www.signaturescience.com,False
dib-vdp,https://logmastre.mantech.com,False
dib-vdp,https://share.mantech.com,False
dib-vdp,https://www.mantech.com,False
dib-vdp,https://data.odin-el.com,False
dib-vdp,https://namtssts.odin-el.com,False
dib-vdp,https://training.odin-el.com,False
dib-vdp,https://gitlab.htsi-al.com,False
dib-vdp,https://sonarqube.htsi-al.com,False
dib-vdp,https://adfs.valkyrie.com,False
dib-vdp,https://namts.valkyrie.com,False
dib-vdp,https://sharepoint.valkyrie.com,False
dib-vdp,https://unicorn.valkyrie.com,False
dib-vdp,https://abo1vpn.ddns.net,False
dib-vdp,https://vpmo.act-corp.com,False
dib-vdp,https://cm-optronics.ddns.net,False
dib-vdp,https://cso1vpn.ddns.net,False
dib-vdp,https://cstdatanet.com,False
dib-vdp,https://eiamd-eis.com,False
dib-vdp,https://frtcmodernization.com,False
dib-vdp,https://goaeis.com,False
dib-vdp,https://gitlab.hilltechnicalsolutions.com,False
dib-vdp,https://www.jtlsgo.com,False
dib-vdp,https://mitt-eis.com,False
dib-vdp,https://data.namtsqpr.com,False
dib-vdp,https://nicmontereyea.com,False
dib-vdp,https://nwtteis.com,False
dib-vdp,https://pmsr-eis.com,False
dib-vdp,https://www.rolands.com,False
dib-vdp,https://safran-dsi.com,False
dib-vdp,https://sealbeachea.com,False
dib-vdp,https://simivalleyvpn.ddns.net,False
circle-bbp,api.circle.com,True
circle-bbp,app.circle.com,True
circle-bbp,console.circle.com,True
circle-bbp,api.circle.com,True
circle-bbp,app.circle.com,True
circle-bbp,console.circle.com,True
varonis,*.varonis.net,True
varonis,*.varonis.io,True
varonis,*.varonis.com,True
varonis,*.varonis.com,True
varonis,*.varonis.io,True
varonis,*.varonis.net,True
netflix,*.nflxso.net,True
netflix,*.nflxvideo.net,True
netflix,presentationtracking.netflix.com,True
netflix,*.nflximg.net,True
netflix,beacon.netflix.com,True
netflix,*.prod.dradis.netflix.com,True
netflix,customerevents.netflix.com,True
netflix,nmtracking.netflix.com,True
netflix,*.prod.ftl.netflix.com,True
netflix,*.nflxext.com,True
netflix,ichnaea.netflix.com,True
netflix,help.netflix.com,True
netflix,*.prod.cloud.netflix.com,True
netflix,secure.netflix.com,True
netflix,meechum.netflix.com,True
netflix,www.netflix.com,True
netflix,*.nflxext.com,True
netflix,*.prod.ftl.netflix.com,True
netflix,*.prod.cloud.netflix.com,True
netflix,*.nflxvideo.net,True
netflix,*.prod.dradis.netflix.com,True
netflix,*.nflximg.net,True
netflix,*.nflxso.net,True
netflix,www.netflix.com,True
netflix,beacon.netflix.com,True
netflix,customerevents.netflix.com,True
netflix,secure.netflix.com,True
netflix,help.netflix.com,True
netflix,ichnaea.netflix.com,True
netflix,presentationtracking.netflix.com,True
netflix,nmtracking.netflix.com,True
netflix,meechum.netflix.com,True
early_warning,platformtest.cat.earlywarning.io,True
early_warning,platform.cat.earlywarning.io,True
early_warning,ews-fusion.my.site.com,True
early_warning,zellepay.force.com,True
early_warning,api.zellepay.com,True
early_warning,zelleservice.my.site.com,True
early_warning,*.zelle.com,True
early_warning,earlywarningapi.force.com,True
early_warning,api.zmsp.earlywarning.com,True
early_warning,*.clearxchange.com,True
early_warning,*.earlywarning.com,True
early_warning,*.zellepay.com,True
early_warning,*.zellepay.com,True
early_warning,*.earlywarning.com,True
early_warning,*.clearxchange.com,True
early_warning,*.zelle.com,True
early_warning,api.zellepay.com,True
early_warning,api.zmsp.earlywarning.com,True
early_warning,platformtest.cat.earlywarning.io,True
early_warning,https://mywallet-management-east.wallet.cat.earlywarning.io/,True
early_warning,https://mywallet-management-west.wallet.cat.earlywarning.io/,True
early_warning,https://sandbox.digitalwallet.earlywarning.com,True
early_warning,earlywarningapi.force.com,True
early_warning,zellepay.force.com,True
early_warning,zelleservice.my.site.com,True
early_warning,ews-fusion.my.site.com,True
early_warning,platform.cat.earlywarning.io,True
koho,usercontent.koho.ca,True
koho,app.koho.ca,True
koho,www.koho.ca,True
koho,webgateway.koho.ca,True
koho,web.koho.ca,True
koho,web.koho.ca,True
koho,http://api.koho.ca/1.0,True
koho,http://api.koho.ca/partner,True
koho,app.koho.ca,True
koho,webgateway.koho.ca,True
koho,www.koho.ca,True
koho,usercontent.koho.ca,True
aeromexico_vdp,https://www.aeromexicobusiness.com,False
aeromexico_vdp,https://www.aeromexicovacations.com,False
aeromexico_vdp,https://www.aeromexicorewards.com,False
aeromexico_vdp,https://www.aeromexico.com/es-mx/aeromexico-rewards,False
aeromexico_vdp,https://amfacturacion.aeromexico.com,False
aeromexico_vdp,https://facturacion.aeromexico.com,False
aeromexico_vdp,https://portalfacturacioncargo.aeromexico.com,False
transunion,*.transunion.co.br,False
transunion,*.transunion.do,False
transunion,*.transunioncentralamerica.com,False
transunion,*.transunion.mx,False
transunion,*.neustarcare.com,False
transunion,*.cibilcreditreport.in,False
transunion,*.transuniondecisioncentre.co.in,False
transunion,*.transunionsolutions.co.in,False
transunion,*.transunioncibil.com,False
transunion,*.transunion.co.uk,False
transunion,*.cibil.com,False
transunion,*.transunion.ca,False
transunion,freeze.transunion.com,False
transunion,disclosure.transunion.com,False
transunion,dispute.transunion.com,False
transunion,fraud.transunion.com,False
transunion,cm.transunion.com,False
transunion,cmspvw.transunion.com,False
transunion,cmsstage-web-guides.transunion.com,False
transunion,cmsstage.transunion.com,False
transunion,co-pvw.transunion.com,False
transunion,compassdriving.transunion.com,False
transunion,consumerconnect.tui.transunion.com,False
transunion,consumerconnectws.tui.transunion.com,False
transunion,consumerdispute-uat.transunion.com,False
transunion,consumerdispute.transunion.com,False
transunion,content.em-tuci.transunion.com,False
transunion,content.transunion.com,False
transunion,content.tui.transunion.com,False
transunion,conteudo.brasil.transunion.com,False
transunion,coupa-uat.transunion.com,False
transunion,coupa-uat2.transunion.com,False
transunion,courtclerkadmin.transunion.com,False
transunion,courtnamesadmin.transunion.com,False
transunion,creditretriever.transunion.com,False
transunion,crivo-test.transunion.com,False
transunion,crs3-ctf-certodic.transunion.com,False
transunion,crs3-ctf-oda.transunion.com,False
transunion,crs3-ctf-odic.transunion.com,False
transunion,crsnumericsearch-ctf.transunion.com,False
transunion,crsnumericsearch.transunion.com,False
transunion,css.transunion.com,False
transunion,ctsportal.transunion.com,False
transunion,custcert.transunion.com,False
transunion,cv.transunion.com,False
transunion,dachi.transunion.com,False
transunion,*.transunion.com,False
transunion,*.tui.transunion.com,False
transunion,*.transunion.co.za,False
transunion,*.transunionafrica.com,False
transunion,*.transunioncibil.com,False
transunion,*.transunion.hk,False
transunion,*.transunion.ph,False
transunion,*.transunion.co.uk,False
transunion,*.transunion.co.br,False
transunion,*.transunion.do,False
transunion,*.chile.transunion.com,False
transunion,*.transunioncentralamerica.com,False
transunion,*.transunion.mx,False
transunion,*.transunion.ca,False
transunion,*.neustar,False
transunion,*.neustar.biz,False
transunion,*.neustarcare.com,False
transunion,*.npac.com,False
transunion,*.cibil.com,False
transunion,*.cibilcreditreport.in,False
transunion,*.transuniondecisioncentre.co.in,False
transunion,*.transunionsolutions.co.in,False
transunion,*.transunion.com.br,False
transunion,*.crivo.com.br,False
transunion,*.zipcode.com.br,False
transunion,service.transunion.com,False
transunion,freeze.transunion.com,False
transunion,disclosure.transunion.com,False
transunion,dispute.transunion.com,False
transunion,fraud.transunion.com,False
transunion,checkmyscore.transunion.com,False
transunion,personalsolution.transunion.hk,False
transunion,164mail.transunion.com,False
transunion,access2-uat.decision.transunion.com,False
transunion,access2.decision.transunion.com,False
transunion,access3-uat.transunion.com,False
transunion,access3.transunion.com,False
transunion,administrationdirect-uat.transunion.com,False
transunion,administrationdirect.transunion.com,False
transunion,aeperformance.tui.transunion.com,False
transunion,aeresource-cvd.tui.transunion.com,False
transunion,aeresource.tui.transunion.com,False
transunion,aerest-cvd.tui.transunion.com,False
transunion,aerest.tui.transunion.com,False
transunion,agilecentral.transunion.com,False
transunion,alerts-uat.hsp.transunion.com,False
transunion,alerts.hsp.transunion.com,False
transunion,annualcreditreport.transunion.com,False
transunion,api-de-test.transunion.com,False
transunion,api-de.transunion.com,False
transunion,api-hc-test.transunion.com,False
transunion,api-hc.transunion.com,False
transunion,api-ipaas.transunion.com,False
transunion,api-mul-np.transunion.com,False
transunion,api-mul.transunion.com,False
transunion,api-np.transunion.com,False
transunion,api-stg.transunion.com,False
transunion,api.transunion.com,False
transunion,api02-stg.transunion.com,False
transunion,api1-stg.transunion.com,False
